date,Regional Price Parities,msa_state,city,title,id,frequency,seasonal_adjustment
2019-01-01,94.367,NE,Lincoln,"Regional Price Parities: All Items for Lincoln, NE (MSA)",RPPALL30700,Annual,Not Seasonally Adjusted
2020-01-01,93.788,NE,Lincoln,"Regional Price Parities: All Items for Lincoln, NE (MSA)",RPPALL30700,Annual,Not Seasonally Adjusted
2008-01-01,111.976,CA,Los Angeles,"Regional Price Parities: All Items for Los Angeles-Long Beach-Anaheim, CA (MSA)",RPPALL31080,Annual,Not Seasonally Adjusted
2009-01-01,110.738,CA,Los Angeles,"Regional Price Parities: All Items for Los Angeles-Long Beach-Anaheim, CA (MSA)",RPPALL31080,Annual,Not Seasonally Adjusted
2010-01-01,111.147,CA,Los Angeles,"Regional Price Parities: All Items for Los Angeles-Long Beach-Anaheim, CA (MSA)",RPPALL31080,Annual,Not Seasonally Adjusted
2011-01-01,110.216,CA,Los Angeles,"Regional Price Parities: All Items for Los Angeles-Long Beach-Anaheim, CA (MSA)",RPPALL31080,Annual,Not Seasonally Adjusted
2012-01-01,110.911,CA,Los Angeles,"Regional Price Parities: All Items for Los Angeles-Long Beach-Anaheim, CA (MSA)",RPPALL31080,Annual,Not Seasonally Adjusted
2013-01-01,111.074,CA,Los Angeles,"Regional Price Parities: All Items for Los Angeles-Long Beach-Anaheim, CA (MSA)",RPPALL31080,Annual,Not Seasonally Adjusted
2014-01-01,110.746,CA,Los Angeles,"Regional Price Parities: All Items for Los Angeles-Long Beach-Anaheim, CA (MSA)",RPPALL31080,Annual,Not Seasonally Adjusted
2015-01-01,112.146,CA,Los Angeles,"Regional Price Parities: All Items for Los Angeles-Long Beach-Anaheim, CA (MSA)",RPPALL31080,Annual,Not Seasonally Adjusted
2016-01-01,110.124,CA,Los Angeles,"Regional Price Parities: All Items for Los Angeles-Long Beach-Anaheim, CA (MSA)",RPPALL31080,Annual,Not Seasonally Adjusted
2017-01-01,109.202,CA,Los Angeles,"Regional Price Parities: All Items for Los Angeles-Long Beach-Anaheim, CA (MSA)",RPPALL31080,Annual,Not Seasonally Adjusted
2018-01-01,110.418,CA,Los Angeles,"Regional Price Parities: All Items for Los Angeles-Long Beach-Anaheim, CA (MSA)",RPPALL31080,Annual,Not Seasonally Adjusted
2019-01-01,109.827,CA,Los Angeles,"Regional Price Parities: All Items for Los Angeles-Long Beach-Anaheim, CA (MSA)",RPPALL31080,Annual,Not Seasonally Adjusted
2020-01-01,111.895,CA,Los Angeles,"Regional Price Parities: All Items for Los Angeles-Long Beach-Anaheim, CA (MSA)",RPPALL31080,Annual,Not Seasonally Adjusted
2008-01-01,89.898,WV,Morgantown,"Regional Price Parities: All Items for Morgantown, WV (MSA)",RPPALL34060,Annual,Not Seasonally Adjusted
2009-01-01,88.006,WV,Morgantown,"Regional Price Parities: All Items for Morgantown, WV (MSA)",RPPALL34060,Annual,Not Seasonally Adjusted
2010-01-01,93.791,WV,Morgantown,"Regional Price Parities: All Items for Morgantown, WV (MSA)",RPPALL34060,Annual,Not Seasonally Adjusted
2011-01-01,93.875,WV,Morgantown,"Regional Price Parities: All Items for Morgantown, WV (MSA)",RPPALL34060,Annual,Not Seasonally Adjusted
2012-01-01,90.633,WV,Morgantown,"Regional Price Parities: All Items for Morgantown, WV (MSA)",RPPALL34060,Annual,Not Seasonally Adjusted
2013-01-01,93.098,WV,Morgantown,"Regional Price Parities: All Items for Morgantown, WV (MSA)",RPPALL34060,Annual,Not Seasonally Adjusted
2014-01-01,91.929,WV,Morgantown,"Regional Price Parities: All Items for Morgantown, WV (MSA)",RPPALL34060,Annual,Not Seasonally Adjusted
2015-01-01,97.074,WV,Morgantown,"Regional Price Parities: All Items for Morgantown, WV (MSA)",RPPALL34060,Annual,Not Seasonally Adjusted
