date,Combined Violent and Property Crime Offenses,msa_state,city,county,state,title,id,frequency,seasonal_adjustment
2020-01-01,123.0,UT,Ogden,Box Elder County,UT,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Box Elder County, UT",FBITC049003,Annual,Not Seasonally Adjusted
2007-01-01,10.0,OH,Cincinnati,Bracken County,KY,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Bracken County, KY",FBITC021023,Annual,Not Seasonally Adjusted
2008-01-01,76.0,OH,Cincinnati,Bracken County,KY,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Bracken County, KY",FBITC021023,Annual,Not Seasonally Adjusted
2009-01-01,30.0,OH,Cincinnati,Bracken County,KY,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Bracken County, KY",FBITC021023,Annual,Not Seasonally Adjusted
2010-01-01,104.0,OH,Cincinnati,Bracken County,KY,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Bracken County, KY",FBITC021023,Annual,Not Seasonally Adjusted
2011-01-01,153.0,OH,Cincinnati,Bracken County,KY,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Bracken County, KY",FBITC021023,Annual,Not Seasonally Adjusted
2012-01-01,111.0,OH,Cincinnati,Bracken County,KY,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Bracken County, KY",FBITC021023,Annual,Not Seasonally Adjusted
2013-01-01,69.0,OH,Cincinnati,Bracken County,KY,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Bracken County, KY",FBITC021023,Annual,Not Seasonally Adjusted
2014-01-01,63.0,OH,Cincinnati,Bracken County,KY,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Bracken County, KY",FBITC021023,Annual,Not Seasonally Adjusted
2015-01-01,56.0,OH,Cincinnati,Bracken County,KY,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Bracken County, KY",FBITC021023,Annual,Not Seasonally Adjusted
2016-01-01,37.0,OH,Cincinnati,Bracken County,KY,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Bracken County, KY",FBITC021023,Annual,Not Seasonally Adjusted
2017-01-01,24.0,OH,Cincinnati,Bracken County,KY,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Bracken County, KY",FBITC021023,Annual,Not Seasonally Adjusted
2018-01-01,49.0,OH,Cincinnati,Bracken County,KY,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Bracken County, KY",FBITC021023,Annual,Not Seasonally Adjusted
2019-01-01,52.0,OH,Cincinnati,Bracken County,KY,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Bracken County, KY",FBITC021023,Annual,Not Seasonally Adjusted
2020-01-01,41.0,OH,Cincinnati,Bracken County,KY,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Bracken County, KY",FBITC021023,Annual,Not Seasonally Adjusted
2004-01-01,1702.0,TX,Houston,Brazoria County,TX,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Brazoria County, TX",FBITC048039,Annual,Not Seasonally Adjusted
2005-01-01,1865.0,TX,Houston,Brazoria County,TX,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Brazoria County, TX",FBITC048039,Annual,Not Seasonally Adjusted
