date,Equifax Subprime Credit Population,msa_state,city,county,state,title,id,frequency,seasonal_adjustment
2001-04-01,31.67701863354037,ID,Lewiston,Asotin County,WA,"Equifax Subprime Credit Population for Asotin County, WA",EQFXSUBPRIME053003,Quarterly,Not Seasonally Adjusted
2001-07-01,31.474597273853778,ID,Lewiston,Asotin County,WA,"Equifax Subprime Credit Population for Asotin County, WA",EQFXSUBPRIME053003,Quarterly,Not Seasonally Adjusted
2001-10-01,30.843373493975907,ID,Lewiston,Asotin County,WA,"Equifax Subprime Credit Population for Asotin County, WA",EQFXSUBPRIME053003,Quarterly,Not Seasonally Adjusted
2002-01-01,29.7719087635054,ID,Lewiston,Asotin County,WA,"Equifax Subprime Credit Population for Asotin County, WA",EQFXSUBPRIME053003,Quarterly,Not Seasonally Adjusted
2002-04-01,29.65186074429772,ID,Lewiston,Asotin County,WA,"Equifax Subprime Credit Population for Asotin County, WA",EQFXSUBPRIME053003,Quarterly,Not Seasonally Adjusted
2002-07-01,30.03533568904594,ID,Lewiston,Asotin County,WA,"Equifax Subprime Credit Population for Asotin County, WA",EQFXSUBPRIME053003,Quarterly,Not Seasonally Adjusted
2002-10-01,29.732868757259002,ID,Lewiston,Asotin County,WA,"Equifax Subprime Credit Population for Asotin County, WA",EQFXSUBPRIME053003,Quarterly,Not Seasonally Adjusted
2003-01-01,29.587155963302752,ID,Lewiston,Asotin County,WA,"Equifax Subprime Credit Population for Asotin County, WA",EQFXSUBPRIME053003,Quarterly,Not Seasonally Adjusted
2003-04-01,28.944381384790013,ID,Lewiston,Asotin County,WA,"Equifax Subprime Credit Population for Asotin County, WA",EQFXSUBPRIME053003,Quarterly,Not Seasonally Adjusted
2003-07-01,30.02283105022831,ID,Lewiston,Asotin County,WA,"Equifax Subprime Credit Population for Asotin County, WA",EQFXSUBPRIME053003,Quarterly,Not Seasonally Adjusted
2003-10-01,30.464326160815403,ID,Lewiston,Asotin County,WA,"Equifax Subprime Credit Population for Asotin County, WA",EQFXSUBPRIME053003,Quarterly,Not Seasonally Adjusted
2004-01-01,30.90705487122061,ID,Lewiston,Asotin County,WA,"Equifax Subprime Credit Population for Asotin County, WA",EQFXSUBPRIME053003,Quarterly,Not Seasonally Adjusted
2004-04-01,30.949720670391063,ID,Lewiston,Asotin County,WA,"Equifax Subprime Credit Population for Asotin County, WA",EQFXSUBPRIME053003,Quarterly,Not Seasonally Adjusted
2004-07-01,28.929384965831435,ID,Lewiston,Asotin County,WA,"Equifax Subprime Credit Population for Asotin County, WA",EQFXSUBPRIME053003,Quarterly,Not Seasonally Adjusted
2004-10-01,30.303030303030305,ID,Lewiston,Asotin County,WA,"Equifax Subprime Credit Population for Asotin County, WA",EQFXSUBPRIME053003,Quarterly,Not Seasonally Adjusted
2005-01-01,28.699551569506728,ID,Lewiston,Asotin County,WA,"Equifax Subprime Credit Population for Asotin County, WA",EQFXSUBPRIME053003,Quarterly,Not Seasonally Adjusted
2005-04-01,28.139013452914796,ID,Lewiston,Asotin County,WA,"Equifax Subprime Credit Population for Asotin County, WA",EQFXSUBPRIME053003,Quarterly,Not Seasonally Adjusted
2005-07-01,27.48603351955307,ID,Lewiston,Asotin County,WA,"Equifax Subprime Credit Population for Asotin County, WA",EQFXSUBPRIME053003,Quarterly,Not Seasonally Adjusted
2005-10-01,28.396436525612472,ID,Lewiston,Asotin County,WA,"Equifax Subprime Credit Population for Asotin County, WA",EQFXSUBPRIME053003,Quarterly,Not Seasonally Adjusted
2006-01-01,27.802197802197803,ID,Lewiston,Asotin County,WA,"Equifax Subprime Credit Population for Asotin County, WA",EQFXSUBPRIME053003,Quarterly,Not Seasonally Adjusted
2006-04-01,27.412280701754387,ID,Lewiston,Asotin County,WA,"Equifax Subprime Credit Population for Asotin County, WA",EQFXSUBPRIME053003,Quarterly,Not Seasonally Adjusted
2006-07-01,28.039430449069002,ID,Lewiston,Asotin County,WA,"Equifax Subprime Credit Population for Asotin County, WA",EQFXSUBPRIME053003,Quarterly,Not Seasonally Adjusted
2006-10-01,27.747551686615886,ID,Lewiston,Asotin County,WA,"Equifax Subprime Credit Population for Asotin County, WA",EQFXSUBPRIME053003,Quarterly,Not Seasonally Adjusted
2007-01-01,27.421109902067464,ID,Lewiston,Asotin County,WA,"Equifax Subprime Credit Population for Asotin County, WA",EQFXSUBPRIME053003,Quarterly,Not Seasonally Adjusted
2007-04-01,27.135135135135137,ID,Lewiston,Asotin County,WA,"Equifax Subprime Credit Population for Asotin County, WA",EQFXSUBPRIME053003,Quarterly,Not Seasonally Adjusted
2007-07-01,27.9826464208243,ID,Lewiston,Asotin County,WA,"Equifax Subprime Credit Population for Asotin County, WA",EQFXSUBPRIME053003,Quarterly,Not Seasonally Adjusted
2007-10-01,28.88402625820569,ID,Lewiston,Asotin County,WA,"Equifax Subprime Credit Population for Asotin County, WA",EQFXSUBPRIME053003,Quarterly,Not Seasonally Adjusted
2008-01-01,27.917121046892042,ID,Lewiston,Asotin County,WA,"Equifax Subprime Credit Population for Asotin County, WA",EQFXSUBPRIME053003,Quarterly,Not Seasonally Adjusted
2008-04-01,27.65726681127983,ID,Lewiston,Asotin County,WA,"Equifax Subprime Credit Population for Asotin County, WA",EQFXSUBPRIME053003,Quarterly,Not Seasonally Adjusted
2008-07-01,27.282728272827285,ID,Lewiston,Asotin County,WA,"Equifax Subprime Credit Population for Asotin County, WA",EQFXSUBPRIME053003,Quarterly,Not Seasonally Adjusted
2008-10-01,27.21311475409836,ID,Lewiston,Asotin County,WA,"Equifax Subprime Credit Population for Asotin County, WA",EQFXSUBPRIME053003,Quarterly,Not Seasonally Adjusted
2009-01-01,27.845303867403317,ID,Lewiston,Asotin County,WA,"Equifax Subprime Credit Population for Asotin County, WA",EQFXSUBPRIME053003,Quarterly,Not Seasonally Adjusted
2009-04-01,28.38137472283814,ID,Lewiston,Asotin County,WA,"Equifax Subprime Credit Population for Asotin County, WA",EQFXSUBPRIME053003,Quarterly,Not Seasonally Adjusted
2009-07-01,27.624309392265197,ID,Lewiston,Asotin County,WA,"Equifax Subprime Credit Population for Asotin County, WA",EQFXSUBPRIME053003,Quarterly,Not Seasonally Adjusted
2009-10-01,27.122381477398015,ID,Lewiston,Asotin County,WA,"Equifax Subprime Credit Population for Asotin County, WA",EQFXSUBPRIME053003,Quarterly,Not Seasonally Adjusted
2010-01-01,26.304106548279687,ID,Lewiston,Asotin County,WA,"Equifax Subprime Credit Population for Asotin County, WA",EQFXSUBPRIME053003,Quarterly,Not Seasonally Adjusted
2010-04-01,25.609756097560975,ID,Lewiston,Asotin County,WA,"Equifax Subprime Credit Population for Asotin County, WA",EQFXSUBPRIME053003,Quarterly,Not Seasonally Adjusted
2010-07-01,25.831485587583146,ID,Lewiston,Asotin County,WA,"Equifax Subprime Credit Population for Asotin County, WA",EQFXSUBPRIME053003,Quarterly,Not Seasonally Adjusted
2010-10-01,26.3215859030837,ID,Lewiston,Asotin County,WA,"Equifax Subprime Credit Population for Asotin County, WA",EQFXSUBPRIME053003,Quarterly,Not Seasonally Adjusted
2011-01-01,26.600441501103756,ID,Lewiston,Asotin County,WA,"Equifax Subprime Credit Population for Asotin County, WA",EQFXSUBPRIME053003,Quarterly,Not Seasonally Adjusted
2011-04-01,27.062706270627064,ID,Lewiston,Asotin County,WA,"Equifax Subprime Credit Population for Asotin County, WA",EQFXSUBPRIME053003,Quarterly,Not Seasonally Adjusted
2011-07-01,26.666666666666668,ID,Lewiston,Asotin County,WA,"Equifax Subprime Credit Population for Asotin County, WA",EQFXSUBPRIME053003,Quarterly,Not Seasonally Adjusted
2011-10-01,25.991189427312776,ID,Lewiston,Asotin County,WA,"Equifax Subprime Credit Population for Asotin County, WA",EQFXSUBPRIME053003,Quarterly,Not Seasonally Adjusted
2012-01-01,26.62266226622662,ID,Lewiston,Asotin County,WA,"Equifax Subprime Credit Population for Asotin County, WA",EQFXSUBPRIME053003,Quarterly,Not Seasonally Adjusted
2012-04-01,26.572668112798265,ID,Lewiston,Asotin County,WA,"Equifax Subprime Credit Population for Asotin County, WA",EQFXSUBPRIME053003,Quarterly,Not Seasonally Adjusted
2012-07-01,27.164502164502164,ID,Lewiston,Asotin County,WA,"Equifax Subprime Credit Population for Asotin County, WA",EQFXSUBPRIME053003,Quarterly,Not Seasonally Adjusted
2012-10-01,27.25298588490771,ID,Lewiston,Asotin County,WA,"Equifax Subprime Credit Population for Asotin County, WA",EQFXSUBPRIME053003,Quarterly,Not Seasonally Adjusted
2013-01-01,26.775956284153008,ID,Lewiston,Asotin County,WA,"Equifax Subprime Credit Population for Asotin County, WA",EQFXSUBPRIME053003,Quarterly,Not Seasonally Adjusted
2013-04-01,26.768226332970617,ID,Lewiston,Asotin County,WA,"Equifax Subprime Credit Population for Asotin County, WA",EQFXSUBPRIME053003,Quarterly,Not Seasonally Adjusted
2013-07-01,26.461211477151963,ID,Lewiston,Asotin County,WA,"Equifax Subprime Credit Population for Asotin County, WA",EQFXSUBPRIME053003,Quarterly,Not Seasonally Adjusted
