date,Resident Population,msa_state,city,county,state,title,id,frequency,seasonal_adjustment
2018-01-01,100.592,TX,Dallas,Rockwall County,TX,"Resident Population in Rockwall County, TX",TXROCK7POP,Annual,Not Seasonally Adjusted
2019-01-01,104.862,TX,Dallas,Rockwall County,TX,"Resident Population in Rockwall County, TX",TXROCK7POP,Annual,Not Seasonally Adjusted
2020-01-01,109.888,TX,Dallas,Rockwall County,TX,"Resident Population in Rockwall County, TX",TXROCK7POP,Annual,Not Seasonally Adjusted
1970-01-01,350.694,KS,Wichita,Sedgwick County,KS,"Resident Population in Sedgwick County, KS",KSSEDG3POP,Annual,Not Seasonally Adjusted
1971-01-01,344.900,KS,Wichita,Sedgwick County,KS,"Resident Population in Sedgwick County, KS",KSSEDG3POP,Annual,Not Seasonally Adjusted
1972-01-01,339.900,KS,Wichita,Sedgwick County,KS,"Resident Population in Sedgwick County, KS",KSSEDG3POP,Annual,Not Seasonally Adjusted
1973-01-01,340.800,KS,Wichita,Sedgwick County,KS,"Resident Population in Sedgwick County, KS",KSSEDG3POP,Annual,Not Seasonally Adjusted
1974-01-01,346.700,KS,Wichita,Sedgwick County,KS,"Resident Population in Sedgwick County, KS",KSSEDG3POP,Annual,Not Seasonally Adjusted
1975-01-01,350.300,KS,Wichita,Sedgwick County,KS,"Resident Population in Sedgwick County, KS",KSSEDG3POP,Annual,Not Seasonally Adjusted
1976-01-01,355.800,KS,Wichita,Sedgwick County,KS,"Resident Population in Sedgwick County, KS",KSSEDG3POP,Annual,Not Seasonally Adjusted
1977-01-01,357.100,KS,Wichita,Sedgwick County,KS,"Resident Population in Sedgwick County, KS",KSSEDG3POP,Annual,Not Seasonally Adjusted
1978-01-01,359.200,KS,Wichita,Sedgwick County,KS,"Resident Population in Sedgwick County, KS",KSSEDG3POP,Annual,Not Seasonally Adjusted
1979-01-01,364.000,KS,Wichita,Sedgwick County,KS,"Resident Population in Sedgwick County, KS",KSSEDG3POP,Annual,Not Seasonally Adjusted
1980-01-01,367.088,KS,Wichita,Sedgwick County,KS,"Resident Population in Sedgwick County, KS",KSSEDG3POP,Annual,Not Seasonally Adjusted
1981-01-01,374.387,KS,Wichita,Sedgwick County,KS,"Resident Population in Sedgwick County, KS",KSSEDG3POP,Annual,Not Seasonally Adjusted
1982-01-01,377.352,KS,Wichita,Sedgwick County,KS,"Resident Population in Sedgwick County, KS",KSSEDG3POP,Annual,Not Seasonally Adjusted
1983-01-01,377.038,KS,Wichita,Sedgwick County,KS,"Resident Population in Sedgwick County, KS",KSSEDG3POP,Annual,Not Seasonally Adjusted
1984-01-01,380.166,KS,Wichita,Sedgwick County,KS,"Resident Population in Sedgwick County, KS",KSSEDG3POP,Annual,Not Seasonally Adjusted
1985-01-01,383.469,KS,Wichita,Sedgwick County,KS,"Resident Population in Sedgwick County, KS",KSSEDG3POP,Annual,Not Seasonally Adjusted
1986-01-01,385.298,KS,Wichita,Sedgwick County,KS,"Resident Population in Sedgwick County, KS",KSSEDG3POP,Annual,Not Seasonally Adjusted
1987-01-01,389.849,KS,Wichita,Sedgwick County,KS,"Resident Population in Sedgwick County, KS",KSSEDG3POP,Annual,Not Seasonally Adjusted
1988-01-01,394.706,KS,Wichita,Sedgwick County,KS,"Resident Population in Sedgwick County, KS",KSSEDG3POP,Annual,Not Seasonally Adjusted
1989-01-01,401.157,KS,Wichita,Sedgwick County,KS,"Resident Population in Sedgwick County, KS",KSSEDG3POP,Annual,Not Seasonally Adjusted
1990-01-01,404.613,KS,Wichita,Sedgwick County,KS,"Resident Population in Sedgwick County, KS",KSSEDG3POP,Annual,Not Seasonally Adjusted
1991-01-01,411.162,KS,Wichita,Sedgwick County,KS,"Resident Population in Sedgwick County, KS",KSSEDG3POP,Annual,Not Seasonally Adjusted
1992-01-01,419.696,KS,Wichita,Sedgwick County,KS,"Resident Population in Sedgwick County, KS",KSSEDG3POP,Annual,Not Seasonally Adjusted
1993-01-01,424.543,KS,Wichita,Sedgwick County,KS,"Resident Population in Sedgwick County, KS",KSSEDG3POP,Annual,Not Seasonally Adjusted
1994-01-01,426.812,KS,Wichita,Sedgwick County,KS,"Resident Population in Sedgwick County, KS",KSSEDG3POP,Annual,Not Seasonally Adjusted
1995-01-01,428.629,KS,Wichita,Sedgwick County,KS,"Resident Population in Sedgwick County, KS",KSSEDG3POP,Annual,Not Seasonally Adjusted
1996-01-01,432.773,KS,Wichita,Sedgwick County,KS,"Resident Population in Sedgwick County, KS",KSSEDG3POP,Annual,Not Seasonally Adjusted
1997-01-01,439.254,KS,Wichita,Sedgwick County,KS,"Resident Population in Sedgwick County, KS",KSSEDG3POP,Annual,Not Seasonally Adjusted
1998-01-01,447.971,KS,Wichita,Sedgwick County,KS,"Resident Population in Sedgwick County, KS",KSSEDG3POP,Annual,Not Seasonally Adjusted
1999-01-01,451.808,KS,Wichita,Sedgwick County,KS,"Resident Population in Sedgwick County, KS",KSSEDG3POP,Annual,Not Seasonally Adjusted
2000-01-01,453.693,KS,Wichita,Sedgwick County,KS,"Resident Population in Sedgwick County, KS",KSSEDG3POP,Annual,Not Seasonally Adjusted
2001-01-01,456.320,KS,Wichita,Sedgwick County,KS,"Resident Population in Sedgwick County, KS",KSSEDG3POP,Annual,Not Seasonally Adjusted
2002-01-01,459.914,KS,Wichita,Sedgwick County,KS,"Resident Population in Sedgwick County, KS",KSSEDG3POP,Annual,Not Seasonally Adjusted
2003-01-01,460.723,KS,Wichita,Sedgwick County,KS,"Resident Population in Sedgwick County, KS",KSSEDG3POP,Annual,Not Seasonally Adjusted
