date,hpi,pred_1,pred_2,pred_3,pred_4,std_1,std_2,std_3,std_4,AIC,pval,naive_1,naive_2,naive_3,naive_4,city,p,d,q
2012-10-01,153.16879658009356,153.83887177284183,153.61222703112742,152.51730997346604,153.5196053647543,1.634175202846234,1.7943384766531725,2.136229319395576,3.3135700366514573,51.24988698329699,0.7852130645659827,154.18360380706565,153.3197596386514,150.9462848846588,153.21911759961284,Morgantown,3,2,1
2013-01-01,153.3365333118245,153.42538791215307,154.81318423140033,153.60423204042704,152.8296824922696,1.375887451927462,1.8425617628619761,2.0723306227263434,2.4696746902420217,48.88448861989671,0.5917786254393843,153.16879658009356,154.18360380706565,153.3197596386514,150.9462848846588,Morgantown,3,2,1
2013-04-01,158.15896434908856,154.6160133178915,154.5984658359164,155.428228791014,154.27138298882193,1.3390548782431912,1.4880461676106504,2.0309240699662534,2.260535570068293,48.7254689898991,0.5501761170692957,153.3365333118245,153.16879658009356,154.18360380706565,153.3197596386514,Morgantown,3,2,1
2013-07-01,157.40414905629942,155.6700976861882,154.9074535999142,154.96390795386412,155.7574551077245,0.9594272973709,1.4166744031194116,1.5166911338242977,2.412279811876383,45.484775723981905,0.35744979323338466,158.15896434908856,153.3365333118245,153.16879658009356,154.18360380706565,Morgantown,3,2,1
2013-10-01,159.29957412485885,158.67917436738065,156.9627639498779,154.63516580635536,154.8216199553347,1.1351886788800474,1.445190354149007,1.4276172715784818,1.655117181324192,46.870524162400784,0.3681942334824425,157.40414905629942,158.15896434908856,153.3365333118245,153.16879658009356,Morgantown,3,2,1
2014-01-01,160.18857880303275,162.05065240164998,161.17373836634675,159.6761189428583,155.09497547516509,1.0934586318135429,1.7768293627174614,1.7790647696635953,1.5737986103460142,46.24699536073094,0.38366379165166037,159.29957412485885,157.40414905629942,158.15896434908856,153.3365333118245,Morgantown,3,2,1
2014-04-01,156.3138603000484,162.01853064002907,163.90214782726835,163.40261934815933,160.37471574018375,1.2276144270755787,1.641290301333899,2.218960336055115,2.535286983735991,47.27598596642942,0.3834437345830592,160.18857880303275,159.29957412485885,157.40414905629942,158.15896434908856,Morgantown,3,2,1
2014-07-01,161.65627520567833,159.3591570450258,161.62474869077798,163.5119023874747,162.33811107315643,2.0982099273137123,1.8737779259065719,2.0497138488695312,3.0943455000454874,56.0806651859089,0.8600415792321693,156.3138603000484,160.18857880303275,159.29957412485885,157.40414905629942,Morgantown,3,2,1
2014-10-01,161.93304081303435,160.86697119652231,159.81382781458706,164.45368556632664,167.81766672816102,2.0928911218583353,2.4543983062084602,2.4075036925638043,2.9200558637695755,56.71908131699088,0.746470488614229,161.65627520567833,156.3138603000484,160.18857880303275,159.29957412485885,Morgantown,3,2,1
2015-01-01,159.00603484432972,160.81503776502174,160.20900071943277,158.80885886357433,164.36199883304957,2.0192001682996974,2.2456206091324438,2.8266852455529246,3.3881193456712815,55.99660897688411,0.8217164307051782,161.93304081303435,161.65627520567833,156.3138603000484,160.18857880303275,Morgantown,3,2,1
2015-04-01,171.04953218261008,163.1119780384475,163.54156113031206,163.2231904631105,160.9037043795912,2.0340117986427675,2.1908991339107846,2.508905984575915,3.6089024117170605,56.24579282123344,0.7347192262953923,159.00603484432972,161.93304081303435,161.65627520567833,156.3138603000484,Morgantown,3,2,1
2015-07-01,164.05491046943055,165.7547309543022,163.19438758445904,164.02847741689877,162.6071655877138,2.679936087163339,2.2725105647065296,2.3538594287686494,3.146438145906249,62.76008201328066,0.9369646807580017,171.04953218261008,159.00603484432972,161.93304081303435,161.65627520567833,Morgantown,3,2,1
2015-10-01,166.6967639941926,168.5907190138595,167.82917293941028,162.0962332086496,164.1485241368422,2.621050688643892,2.9699531753322272,2.4669590558252747,2.902390730492364,62.411424465928135,0.9057162281829798,164.05491046943055,171.04953218261008,159.00603484432972,161.93304081303435,Morgantown,3,2,1
2016-01-01,166.36129053073077,173.60674083657707,174.1744530321654,175.49988784638984,164.9228636734774,2.5912874482099593,2.8084509126615598,3.6463125920535284,3.2035277022014284,62.51480774640592,0.9260582752129519,166.6967639941926,164.05491046943055,171.04953218261008,159.00603484432972,Morgantown,3,2,1
2016-04-01,166.95675592837554,166.10691509113354,166.3622308340757,167.81741614875324,169.17300866873032,3.197003202168925,2.717828947964652,3.610599495277325,5.038713113643261,65.31580357922505,0.9090996039788216,166.36129053073077,166.6967639941926,164.05491046943055,171.04953218261008,Morgantown,3,2,1
2016-07-01,174.16943539280527,168.58696691941316,168.38008515568066,173.54722521696942,176.33298873174874,3.186369907219989,3.295791551581399,3.2868573565392794,4.783085936393505,65.35296356120003,0.9154020721634624,166.95675592837554,166.36129053073077,166.6967639941926,164.05491046943055,Morgantown,3,2,1
2016-10-01,174.34555896112275,169.81072743383447,168.63051060667811,167.98848175370713,174.6367708303064,3.543216900639689,3.2534635568535113,3.969291748918881,4.351903964358919,67.76585722010671,0.9307880594302069,174.16943539280527,166.95675592837554,166.36129053073077,166.6967639941926,Morgantown,3,2,1
2017-01-01,169.46442006775283,175.76603870811678,173.42773566401232,169.83408296071394,169.14934671619844,3.70967652333147,3.5827272897424014,3.8661059515287124,4.715298150504137,67.98212566736247,0.9125877301875182,174.34555896112275,174.16943539280527,166.95675592837554,166.36129053073077,Morgantown,3,2,1
2017-04-01,174.32878528794967,176.9957808111332,178.94658187979326,175.24304255789775,170.6827187871225,3.8378805442604214,3.906554623506123,4.171309368956806,4.531173315446699,69.51234779957849,0.7124050203120641,169.46442006775283,174.34555896112275,174.16943539280527,166.95675592837554,Morgantown,3,2,1
2017-07-01,179.11766897886756,176.5091445614338,176.48743506872378,178.97176667859637,174.1416415492292,3.828265812977821,3.8688549791340257,4.792447807436713,4.929602442336624,69.43272256021937,0.635421554486313,174.32878528794967,169.46442006775283,174.34555896112275,174.16943539280527,Morgantown,3,2,1
2017-10-01,174.06040651718018,176.29605794368223,176.03405852649664,176.35392262033614,181.35270384328047,3.810025559925286,3.8819463842909347,4.199700267901447,5.753460769401587,69.75759982804031,0.5789491845832825,179.11766897886756,174.32878528794967,169.46442006775283,174.34555896112275,Morgantown,3,2,1
2018-01-01,175.77970801742217,177.40550291712245,177.47446209334316,177.1893917315035,179.82674566729426,3.827650320381024,3.834172792552555,4.108063911291347,4.981630953096782,70.00651030487401,0.5706598880779193,174.06040651718018,179.11766897886756,174.32878528794967,169.46442006775283,Morgantown,3,2,1
2018-04-01,181.47437005968703,184.60265501995204,180.53595596675643,180.86149770237674,179.31144539530857,2.030929783105077,3.8291649796601614,3.9529733781479344,4.642988363329703,59.948772686819076,0.6229267283983029,175.77970801742217,174.06040651718018,179.11766897886756,174.32878528794967,Morgantown,3,2,1
2018-07-01,179.8892579448298,179.70549693702694,183.4565193311652,179.87308896245946,181.57483863648207,1.6807526983778152,6.115031322745306,3.9498445060659177,4.522975029851888,53.99938788553904,0.9150772941881392,181.47437005968703,175.77970801742217,174.06040651718018,179.11766897886756,Morgantown,3,2,1
2018-10-01,171.41016615583158,178.9098806616189,178.6332940412379,182.49329646288936,180.66302234397654,1.5404910372435312,2.2213303638032307,10.244330042531589,4.64531794057733,52.027265406259794,0.8378685217910178,179.8892579448298,181.47437005968703,175.77970801742217,174.06040651718018,Morgantown,3,2,1
2019-01-01,182.87497176964027,176.71371381360404,184.52869680775055,183.89801505433138,191.4482142937332,2.07682469539074,2.7320880864171313,2.2504816490097013,14.952613861848857,58.98792689000937,0.3413606388731659,171.41016615583158,179.8892579448298,181.47437005968703,175.77970801742217,Morgantown,3,2,1
2019-04-01,181.87693821584128,181.50693378923833,179.56761246227273,185.66407283258212,185.15841147975837,2.052135282275541,2.9712073884488475,3.3725115016177183,2.6665696323920938,60.49554713631409,0.2756048708860813,182.87497176964027,171.41016615583158,179.8892579448298,181.47437005968703,Morgantown,3,2,1
2019-07-01,185.5923068236812,175.1999401804207,175.15498195263015,172.80210279184067,183.13801575357448,2.0543472272026033,2.133497919852516,3.5807109073050105,4.565285382081795,60.503856895105955,0.2591213111585819,181.87693821584128,182.87497176964027,171.41016615583158,179.8892579448298,Morgantown,3,2,1
2019-10-01,187.7141764800774,177.75330852289028,178.2843165318154,178.0639269739055,170.26088504260034,3.317136476443956,2.1304865429647157,2.4418700764847348,4.732380366676058,69.04566276980981,0.5424673278505457,185.5923068236812,181.87693821584128,182.87497176964027,171.41016615583158,Morgantown,3,2,1
