date,Average Weekly Wages for Employees in Total Covered Establishments,msa_state,city,title,id,frequency,seasonal_adjustment
2018-10-01,948.179540991136,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
2019-01-01,981.7978665745829,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
2019-04-01,969.967159031548,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
2019-07-01,976.398743018465,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
2019-10-01,984.820401372186,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
2020-01-01,990.729167436695,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
2020-04-01,1040.42496840062,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
2020-07-01,1053.34686140373,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
2020-10-01,1093.0879210593598,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
2021-01-01,1048.18248676081,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
2021-04-01,1098.6636794230699,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
1990-01-01,396.557049987406,VA,Charlottesville,"Average Weekly Wages for Employees in Total Covered Establishments in Charlottesville, VA (MSA)",ENUC168240010SA,Quarterly,Seasonally Adjusted
1990-04-01,396.74318128600197,VA,Charlottesville,"Average Weekly Wages for Employees in Total Covered Establishments in Charlottesville, VA (MSA)",ENUC168240010SA,Quarterly,Seasonally Adjusted
1990-07-01,401.957217597333,VA,Charlottesville,"Average Weekly Wages for Employees in Total Covered Establishments in Charlottesville, VA (MSA)",ENUC168240010SA,Quarterly,Seasonally Adjusted
1990-10-01,408.924444730075,VA,Charlottesville,"Average Weekly Wages for Employees in Total Covered Establishments in Charlottesville, VA (MSA)",ENUC168240010SA,Quarterly,Seasonally Adjusted
1991-01-01,413.301184451734,VA,Charlottesville,"Average Weekly Wages for Employees in Total Covered Establishments in Charlottesville, VA (MSA)",ENUC168240010SA,Quarterly,Seasonally Adjusted
1991-04-01,415.89851624728,VA,Charlottesville,"Average Weekly Wages for Employees in Total Covered Establishments in Charlottesville, VA (MSA)",ENUC168240010SA,Quarterly,Seasonally Adjusted
1991-07-01,417.015570325033,VA,Charlottesville,"Average Weekly Wages for Employees in Total Covered Establishments in Charlottesville, VA (MSA)",ENUC168240010SA,Quarterly,Seasonally Adjusted
1991-10-01,413.073312715665,VA,Charlottesville,"Average Weekly Wages for Employees in Total Covered Establishments in Charlottesville, VA (MSA)",ENUC168240010SA,Quarterly,Seasonally Adjusted
